# Wave	Vel	NormFlux	NormErr	Flux	Error	Continuum
1136.7726	623.08	1.0732	0.1331	7.7341e-15	9.5922e-16	7.2063e-15
1136.8025	630.98	1.1563	0.1398	8.3312e-15	1.0076e-15	7.2051e-15
1136.8325	638.89	0.8650	0.1205	6.2312e-15	8.6795e-16	7.2039e-15
1136.8624	646.79	0.7765	0.1208	5.5931e-15	8.7039e-16	7.2027e-15
1136.8923	654.70	1.0592	0.1320	7.6279e-15	9.5036e-16	7.2015e-15
1136.9222	662.60	1.0646	0.1334	7.6656e-15	9.6064e-16	7.2003e-15
1136.9521	670.50	1.0552	0.1317	7.5967e-15	9.4800e-16	7.1991e-15
1136.9820	678.41	1.0938	0.1341	7.8729e-15	9.6540e-16	7.1979e-15
1137.0119	686.31	1.1106	0.1355	7.9924e-15	9.7516e-16	7.1967e-15
1137.0418	694.22	0.9260	0.1252	6.6629e-15	9.0097e-16	7.1955e-15
1137.0717	702.12	1.1708	0.1393	8.4232e-15	1.0025e-15	7.1943e-15
1137.1016	710.03	1.2564	0.1434	9.0378e-15	1.0313e-15	7.1932e-15
1137.1316	717.93	1.0178	0.1305	7.3200e-15	9.3846e-16	7.1920e-15
1137.1615	725.83	1.0097	0.1287	7.2606e-15	9.2573e-16	7.1908e-15
1137.1914	733.74	1.1531	0.1375	8.2904e-15	9.8864e-16	7.1896e-15
1137.2213	741.64	0.9668	0.1261	6.9499e-15	9.0628e-16	7.1884e-15
1137.2512	749.55	1.0751	0.1327	7.7268e-15	9.5350e-16	7.1872e-15
1137.2811	757.45	0.8720	0.1209	6.2660e-15	8.6892e-16	7.1860e-15
1137.3110	765.36	1.2387	0.1421	8.8997e-15	1.0213e-15	7.1848e-15
1137.3409	773.26	1.0013	0.1281	7.1931e-15	9.2016e-16	7.1836e-15
1137.3708	781.17	1.0834	0.1337	7.7816e-15	9.6000e-16	7.1824e-15
1137.4007	789.07	1.0068	0.1289	7.2302e-15	9.2542e-16	7.1812e-15
1137.4307	796.97	0.8435	0.1178	6.0562e-15	8.4588e-16	7.1800e-15
1137.4606	804.88	0.7826	0.1145	5.6184e-15	8.2230e-16	7.1788e-15
1137.4905	812.78	1.0308	0.1298	7.3989e-15	9.3191e-16	7.1776e-15
1137.5204	820.69	0.9779	0.1272	7.0178e-15	9.1312e-16	7.1764e-15
1137.5503	828.59	1.1178	0.1350	8.0204e-15	9.6863e-16	7.1752e-15
1137.5802	836.50	0.9326	0.1247	6.6908e-15	8.9432e-16	7.1740e-15
1137.6101	844.40	1.1067	0.1348	7.9380e-15	9.6682e-16	7.1728e-15
1137.6400	852.30	1.1392	0.1362	8.1702e-15	9.7685e-16	7.1716e-15
1137.6699	860.21	1.1640	0.1384	8.3467e-15	9.9242e-16	7.1704e-15
1137.6998	868.11	1.1217	0.1353	8.0419e-15	9.6975e-16	7.1692e-15
1137.7297	876.02	0.8328	0.1169	5.9696e-15	8.3791e-16	7.1680e-15
1137.7597	883.92	1.0941	0.1363	7.8412e-15	9.7679e-16	7.1669e-15
1137.7896	891.83	1.1329	0.1365	8.1181e-15	9.7798e-16	7.1657e-15
1137.8195	899.73	1.0488	0.1315	7.5142e-15	9.4223e-16	7.1645e-15
1137.8494	907.63	0.9073	0.1221	6.4990e-15	8.7433e-16	7.1633e-15
