# Wave	Vel	NormFlux	NormErr	Flux	Error	Continuum
1149.7665	4056.99	0.9048	0.1546	3.4081e-15	5.8246e-16	3.7669e-15
1149.7965	4064.89	1.4007	0.1908	5.2751e-15	7.1873e-16	3.7660e-15
1149.8264	4072.80	1.4583	0.1951	5.4905e-15	7.3452e-16	3.7651e-15
1149.8563	4080.70	0.8850	0.1528	3.3314e-15	5.7512e-16	3.7642e-15
1149.8862	4088.60	0.9566	0.1588	3.6000e-15	5.9762e-16	3.7633e-15
1149.9161	4096.51	1.2415	0.1800	4.6709e-15	6.7715e-16	3.7624e-15
1149.9460	4104.41	1.2136	0.1777	4.5648e-15	6.6847e-16	3.7616e-15
1149.9759	4112.32	1.2039	0.1770	4.5275e-15	6.6569e-16	3.7607e-15
1150.0058	4120.22	0.7381	0.1402	2.7750e-15	5.2726e-16	3.7598e-15
1150.0357	4128.13	0.8298	0.1480	3.1192e-15	5.5651e-16	3.7589e-15
1150.0656	4136.03	0.8465	0.1506	3.1810e-15	5.6587e-16	3.7580e-15
1150.0956	4143.93	0.8805	0.1523	3.3080e-15	5.7203e-16	3.7572e-15
1150.1255	4151.84	1.0529	0.1662	3.9550e-15	6.2447e-16	3.7563e-15
1150.1554	4159.74	0.8452	0.1501	3.1741e-15	5.6377e-16	3.7554e-15
1150.1853	4167.65	0.9708	0.1607	3.6448e-15	6.0337e-16	3.7546e-15
1150.2152	4175.55	1.1292	0.1742	4.2387e-15	6.5394e-16	3.7537e-15
1150.2451	4183.46	1.1944	0.1769	4.4822e-15	6.6395e-16	3.7529e-15
1150.2750	4191.36	1.1655	0.1748	4.3729e-15	6.5575e-16	3.7520e-15
1150.3049	4199.26	1.1423	0.1762	4.2851e-15	6.6090e-16	3.7511e-15
1150.3348	4207.17	1.1436	0.1739	4.2887e-15	6.5211e-16	3.7503e-15
1150.3647	4215.07	1.2094	0.1774	4.5344e-15	6.6515e-16	3.7495e-15
1150.3946	4222.98	0.9829	0.1605	3.6845e-15	6.0181e-16	3.7486e-15
1150.4246	4230.88	0.9763	0.1601	3.6589e-15	6.0008e-16	3.7478e-15
1150.4545	4238.79	0.8045	0.1460	3.0143e-15	5.4708e-16	3.7469e-15
1150.4844	4246.69	0.8949	0.1559	3.3524e-15	5.8413e-16	3.7461e-15
1150.5143	4254.59	0.9877	0.1611	3.6991e-15	6.0319e-16	3.7453e-15
1150.5442	4262.50	0.8707	0.1543	3.2601e-15	5.7782e-16	3.7444e-15
1150.5741	4270.40	1.0190	0.1633	3.8148e-15	6.1147e-16	3.7436e-15
1150.6040	4278.31	0.9665	0.1594	3.6173e-15	5.9671e-16	3.7428e-15
1150.6339	4286.21	0.9857	0.1624	3.6886e-15	6.0768e-16	3.7420e-15
1150.6638	4294.12	1.0863	0.1684	4.0639e-15	6.2984e-16	3.7411e-15
1150.6937	4302.02	1.0874	0.1700	4.0674e-15	6.3589e-16	3.7403e-15
1150.7237	4309.93	0.9935	0.1614	3.7151e-15	6.0365e-16	3.7395e-15
1150.7536	4317.83	1.1414	0.1723	4.2674e-15	6.4426e-16	3.7387e-15
1150.7835	4325.73	1.2764	0.1833	4.7710e-15	6.8503e-16	3.7379e-15
1150.8134	4333.64	1.0420	0.1666	3.8941e-15	6.2276e-16	3.7371e-15
1150.8433	4341.54	0.9449	0.1573	3.5302e-15	5.8785e-16	3.7363e-15
1150.8732	4349.45	1.1662	0.1742	4.3563e-15	6.5081e-16	3.7355e-15
1150.9031	4357.35	1.3927	0.1933	5.2013e-15	7.2210e-16	3.7347e-15
1150.9330	4365.26	0.9436	0.1628	3.5234e-15	6.0795e-16	3.7339e-15
1150.9629	4373.16	1.0976	0.1690	4.0973e-15	6.3104e-16	3.7331e-15
